Dataset,Number_Of_Candidates,Number_of_voters,Max_Ballot_length,Preferred_winner,Upper_Bound,heuristic_margin,Our_margin,Blom_margin,Margin_correct,Upper_bound_correct,Heuristic_equl_margin,Our_runtime,Blom_runtime,Our_number_LPS,Blom_number_LPS,Our_number_node_explored,Blom_number_node_explored,Our_bl_calls,Blom_Leaf_node_explored
Data_NA_Albury,5,46335,5,0,11680,5840,5840,5840.0,1,1,1,0.07711000000000023,0.06569230000000026,0,13,14,14,13,2
Data_NA_Albury,5,46335,5,1,24547,12274,12274,12274.0,1,1,1,0.022085800000000155,0.11168970000000034,0,19,21,20,20,2
Data_NA_Albury,5,46335,5,2,23453,11727,11785.0,11785.0,1,1,0,0.07299140000000026,0.09173290000000023,0,17,20,18,19,4
Data_NA_Albury,5,46335,5,3,0,0,0,0.0,1,1,1,0.0016426000000002716,0.027776900000000104,0,10,1,11,0,1
Data_NA_Albury,5,46335,5,4,21943,10972,10972,10972.0,1,1,1,0.032503300000000124,0.06742090000000012,0,13,15,14,14,2
Data_NA_Auburn,6,43781,6,0,19112,9556,9935.0,9935.0,1,1,0,0.43177160000000026,1.2607587999999996,0,157,191,158,170,24
Data_NA_Auburn,6,43781,6,1,4529,2265,2265,2265.0,1,1,1,0.07617090000000104,0.23963209999999968,0,36,37,37,36,6
Data_NA_Auburn,6,43781,6,2,18972,9486,10003.0,10003.0,1,1,0,0.4001488999999996,1.2492766999999994,0,156,191,157,170,23
Data_NA_Auburn,6,43781,6,3,17331,8666,8852.0,8852.0,1,1,0,0.3098510000000001,1.1031888000000016,0,145,167,146,123,20
Data_NA_Auburn,6,43781,6,4,0,0,0,0.0,1,1,1,0.009479199999999466,0.07155640000000041,0,18,1,19,0,1
Data_NA_Auburn,6,43781,6,5,18303,9152,9125.0,9125.0,1,1,0,0.22051719999999975,0.8244904999999996,0,114,121,115,120,14
Data_NA_Ballina,7,47454,7,0,16648,8324,8085,8085.0,1,1,0,0.8419615999999994,1.2589612000000017,0,111,196,112,176,4
Data_NA_Ballina,7,47454,7,1,13145,6573,4495,4495.0,1,1,0,0.18365700000000018,0.3061043000000012,0,29,30,30,29,2
Data_NA_Ballina,7,47454,7,2,2534,1267,1267,1267.0,1,1,1,0.3973417000000019,0.33697440000000256,0,30,50,31,49,3
Data_NA_Ballina,7,47454,7,3,20122,10061,9881,9881.0,1,1,0,2.9541154000000027,3.5453551999999995,0,266,511,267,381,22
Data_NA_Ballina,7,47454,7,4,0,0,0,0.0,1,1,1,0.02550940000000068,0.1628816999999998,0,21,1,22,0,1
Data_NA_Ballina,7,47454,7,5,20602,10301,9965,9965.0,1,1,0,3.329197699999998,3.838932900000003,0,283,538,284,411,28
Data_NA_Ballina,7,47454,7,6,2259,1130,1130,1130.0,1,1,1,0.13251349999999817,0.272421099999999,0,25,26,26,25,3
Data_NA_Balmain,7,46952,7,0,25038,12519,8798.0,8798.0,1,1,0,1.9024737000000016,4.267624900000001,0,321,427,322,290,20
Data_NA_Balmain,7,46952,7,1,25991,12996,12178,12178.0,1,1,0,1.0113950999999943,2.776701899999999,0,217,273,218,272,7
Data_NA_Balmain,7,46952,7,2,13710,6855,6192,6192.0,1,1,0,0.20861580000000401,0.5424562999999978,0,42,43,43,42,6
